tweetID,retweet_count,favorite_count
7587710,9337,250
1773335,7468,3019
1407433,3378,6343
5441600,8221,11047
7257207,7022,8182
4896212,386,2525
5820396,3382,3650
2988545,6184,11090
7500814,1978,4474
8443054,7384,11437
1720636,3196,3561
3414763,9138,11760
3551518,9672,11127
7469145,2992,3119
2384767,1979,3181
5323254,6193,9795
3387336,6916,9916
4847958,1139,1581
2488522,1594,5559
4637995,9470,10185
1443037,8392,12734
7939979,5323,9361
6218161,5835,9851
8774221,3591,4963
3367120,3556,6041
8038572,6431,9259
6978218,1662,5990
9575636,5580,7049
6645523,9237,10515
7512133,5975,7410
2163232,5456,10390
6385230,3114,4358
7886682,5361,8237
3981430,1838,6387
2361669,5941,6730
9360964,5256,5273
1477816,9437,14053
9787097,5141,6281
8868228,5534,5563
9381636,9466,10861
6232387,2126,7041
5289927,459,1579
5444799,6352,6952
6404315,7608,11986
4236259,8077,8923
3746547,7858,11191
9195341,7463,8116
5356016,1058,3473
2988380,7740,9661
1482950,5729,8672
3857380,3336,4966
8791538,1820,6451
5961420,6873,9138
6754978,2310,6433
1647588,8757,11639
4335178,7024,7970
7754802,1728,5985
3726269,7883,11795
6588102,4684,8808
2473151,292,1474
4598645,1435,4012
8927924,9240,10876
3054134,2721,5589
9228038,869,5668
2949533,5384,10352
9400827,822,1052
1980468,1895,2114
9463570,5346,9253
9912563,1997,6153
8735258,1377,4940
9981211,5965,8878
8017807,2904,3795
1955675,1887,5176
9249047,8428,12366
7942565,4618,8390
5347395,6928,10440
7478971,5889,7535
7419555,5978,10342
2172053,4387,6592
3637753,7574,11769
6503613,2732,5740
8101175,415,1716
8494537,5400,5981
9604349,9634,12422
2748266,7825,9803
8642808,4650,5040
9481412,4625,7559
3768006,4389,7558
3678086,4599,8897
3367804,8549,9679
2641253,9147,12330
4370250,9754,13679
2007429,1737,5720
1304404,2857,7185
7056793,5780,5976
3555690,4579,8410
1939580,37,1953
9142800,4584,5060
7437442,3897,5618
6706672,5364,8751
5313424,362,3779
8276262,9853,12996
3658439,6715,11288
3134717,6252,11098
6149171,8957,9441
1903579,3694,7272
5860912,576,864
5569301,102,4232
4162262,3250,6177
1965683,6080,8356
2782052,6923,7177
4966428,4349,5165
4990629,4065,8386
4749073,4963,5076
4305238,4867,5706
1377495,6602,9505
2582530,5579,7529
3134725,8318,8689
4829884,6919,11613
8259743,7005,8134
7029323,5610,8524
4033020,3235,4294
6076562,4596,4617
3000771,6962,7682
3643709,1660,5847
9486122,9869,14660
1316478,1134,5363
2991087,2399,5344
1855025,9763,14197
6740380,6513,11417
8603235,7150,7537
1768364,3178,7829
6920755,2566,7090
9326813,2271,2982
9000111,2267,2518
8302128,8569,9471
7760498,4057,4240
1218177,4084,4301
7131620,8563,11370
9868720,9987,13578
2127885,297,4780
7545238,5709,6637
4779111,989,1387
4358442,1710,1816
9626150,9660,10155
9210977,4439,5338
1614706,9132,13015
4045814,3821,6158
8594277,8024,8123
5980898,9922,10313
6492376,5520,7906
2351350,483,1079
6625455,3802,6789
3615617,2429,4824
3740763,939,5594
9537989,5785,7293
4480884,6265,6496
5785742,3732,7184
2129994,5885,9570
2534121,2037,6565
6444895,5968,9406
8192527,8925,9017
3574300,2056,2612
2818413,6050,7459
9267311,5580,10465
2394256,9205,10464
9642648,824,5537
3412854,6033,6241
6989037,3425,6695
5533768,1385,5693
2463981,3888,8880
8539150,1576,4079
4260861,2116,4564
8578064,4212,5545
2564921,3920,8093
1975349,9069,11310
4567416,8940,11961
2287911,2423,5210
6540457,1116,3222
2184296,2603,2758
4485796,4526,7569
8499467,8331,9383
4390490,2387,2451
7235756,5196,8575
1896384,2187,6655
7123824,1198,4057
3371907,7146,9505
8230140,6715,9374
8005138,2277,3303
4404285,7361,7640
6530250,2330,6207
1760202,7259,10955
6086801,9596,10762
2060395,4253,8363
3819026,2165,2362
1453627,8036,11472
9077537,9356,12749
9933980,4744,6736
7089846,1516,4622
1139955,5688,7870
1237179,7066,7295
9282539,2998,6017
4156353,2923,7810
1019634,7603,7653
1680809,7924,9683
8047713,6293,7269
6212844,5006,6131
8938645,5577,8933
8939481,1491,2807
2802984,3816,8499
1354312,9488,11645
4979160,5589,9848
1834791,887,5636
1096146,7461,9268
4108727,4601,8888
8801784,972,1218
3904279,732,3428
6899446,6375,7982
7654992,212,3198
3043036,9890,12922
2328567,6996,11933
3970272,7541,10653
6256514,3921,5159
4185459,7243,8215
9236607,6832,8085
9607992,8496,13072
3092094,2382,2726
2267949,3418,8265
5205156,9342,12953
3928869,1423,2489
8855021,8907,13213
5606682,1839,3790
1927628,6154,8483
2090576,9786,11618
1887650,6603,8091
3786924,5050,5244
8398108,7916,8929
5764237,7860,8688
3633435,3159,7920
7626821,3625,5927
7563917,5178,8737
6317675,5160,8452
8955502,6323,6650
2186813,7711,10316
2243092,3443,6786
2662326,9868,10517
1164234,6113,10432
9246658,6068,9342
6360988,606,696
1789084,6717,9622
2397957,3751,7788
2945609,1025,5664
9999138,1600,2684
3983711,5532,7391
8676680,2727,6614
8564991,1661,5887
6265458,4823,7160
8432871,2448,3360
2755081,5798,10665
9030081,3500,4524
2638269,638,5498
8930938,1583,2285
6025956,241,883
9769401,9204,14082
3070705,1647,1994
8964584,628,3683
2259105,64,1910
4309695,3632,8084
3331213,1038,5581
7954599,9444,10541
4168027,5549,7443
4238864,781,2551
3822268,8341,11528
3186847,7249,9164
4813529,9021,12582
4022915,7587,12562
6708233,5831,8972
6275795,4561,6393
1833385,564,648
5707664,7967,12525
1181579,1534,4772
8720253,381,3503
8730878,1352,2021
6636373,7393,10440
9907539,1439,5151
8247107,1837,1931
6878242,4658,7488
8196774,1511,4593
9219211,9318,11463
8748739,3940,8867
7515933,7303,10526
1069220,3553,7291
8148219,6763,11112
4283067,8976,13016
4092063,4532,5592
5798366,9949,11747
5185885,5923,6721
8195131,4962,9386
5172662,8015,11958
4894050,560,1002
2395905,2362,4022
5560425,3458,4714
7309351,844,2134
9338448,5078,6485
1393486,8551,9383
2586089,2667,3662
9097351,4881,7041
4260323,9481,13364
6869127,8485,9190
2450751,9194,13784
4132619,7463,11440
1533185,1496,4868
5051172,5727,8276
8547719,5248,7700
1283968,8010,9165
4049737,2703,3992
5284246,6431,7088
6259502,2998,7859
9522052,6139,6588
6846755,182,4544
5529996,1718,5971
6864497,9295,12612
2160487,8033,9278
2017175,9320,12920
9553097,7211,8188
3798258,9542,10233
1422406,8327,12749
3135027,5734,10630
3221961,4942,5676
7694370,3534,5637
4553576,5639,7832
7015720,2301,3009
2355084,2823,7742
2290007,8916,13612
1334597,2157,2913
2092266,8200,11638
1708422,2186,4741
8361501,8702,12910
6099738,9246,12466
4309570,7640,11912
9098204,2075,2914
6855415,7407,11879
4785148,8724,9969
9723936,659,1078
1040367,2390,5469
8636392,4426,7111
7089297,9398,13767
2899379,3785,8343
2130991,9009,13695
4213438,5137,9494
5308557,8234,11022
6878862,5555,7488
1236932,7752,8947
1132919,157,2055
3819891,4332,8038
4267456,2631,6363
5678947,1131,4818
1939915,3459,7735
9666649,5633,7025
5420695,6091,10417
8408526,8822,10701
5393162,2606,7254
7800328,218,5035
4028009,7230,10911
6135347,3679,6866
4101415,8104,12801
5148213,7689,9079
1501708,8780,9331
9853714,5467,5527
4585290,5389,6755
6150739,3318,5700
6357399,3245,4749
1769311,2356,6604
9935126,4581,9306
3803949,9125,13718
8855806,1174,2997
6892634,1550,2194
5253703,4177,8003
1408306,2691,7686
9799409,5380,7358
1180673,2851,7374
2658456,7612,11641
6983252,9346,13284
6989880,7293,8529
6999533,9733,13836
7983505,8351,12801
8874371,834,4053
2130781,9165,12393
2151644,7269,11087
1784195,3331,3867
1195811,4743,5153
5699313,3081,5827
5329189,5105,5741
6727185,919,1185
5255419,8804,10769
4868459,967,3017
9869436,482,1741
2670170,1622,3826
2372313,4665,5762
7488952,6769,10311
6052839,6102,6793
1629738,1725,5198
8012478,4232,5900
9151788,7692,9883
3419440,5568,9643
5526215,5605,8415
9435322,7557,8750
9633375,2399,5966
9448295,802,3664
4820543,6430,8416
1823984,440,1678
2066418,3633,6066
7622607,6715,7965
1049221,410,924
4882409,8473,12000
7959977,3847,4161
9519698,7363,7741
9472869,1306,5336
3261273,1394,3814
1709408,4200,7266
2186523,659,2814
7356769,615,1173
6904005,212,4041
9935171,1344,5038
5825980,5371,6305
9473620,9151,12530
8094485,3461,5823
5346686,9099,9665
7635961,9639,10970
9061991,1680,5558
5161224,839,1683
5955441,6013,6795
5029524,7255,10276
5966034,2201,4599
7295077,7557,8700
6209493,5108,6598
9313768,3561,5252
5337513,9671,11095
9257823,6722,7852
7275898,3873,5195
2163209,9619,14060
8584178,9095,12193
3673754,1581,1899
9260631,3468,7097
1253259,6094,8627
4936355,8264,11495
3977647,2008,5046
7129347,6935,7562
8309536,7559,10094
6076262,72,2251
8479566,7817,8215
5506908,8003,8734
3840232,5121,6656
1100741,3736,7113
5024831,5664,7223
4987313,9406,13879
4971982,9116,11687
1635066,636,1310
3894226,8843,13763
3676240,6710,9053
5560121,799,1356
6043592,1050,4319
1119381,9644,12252
3595590,8982,11990
1783005,7968,12338
6075765,3230,6103
5543636,7992,10941
4382580,7521,9875
2115238,2678,4471
9255667,8668,9890
4296704,5032,8141
2469993,252,303
6817776,5382,5661
7646007,7958,8294
6729418,1834,4190
8277843,5547,5820
5177834,3492,5314
1034122,3253,5271
2100981,2063,3880
2141534,4264,6616
1430920,967,4541
2619445,5410,8416
1525444,9422,9828
9491827,7491,8599
8898013,3329,5796
1061424,9476,12652
2724679,8744,11525
5952195,8469,11187
4517785,9193,11657
4196744,9852,11136
2778715,8370,8875
7474942,2230,3542
9799491,2459,4198
9934272,1442,5888
8919694,548,1820
9745588,3674,5238
9022240,3918,4884
7218940,8255,10915
5265236,2981,4616
8893745,6938,11403
2746427,8630,12686
9604223,2838,2942
4663209,2036,6940
8565684,3526,6242
4588528,9485,10733
9102293,2006,2417
1915068,6140,8201
8376240,1082,2916
8331877,5456,7653
9624936,2044,6680
6075571,390,809
2399274,9365,10182
8206750,6698,9538
9002602,1056,2255
4349598,487,921
4169921,1802,3420
1151952,3337,3477
8237416,6768,10201
8741247,2351,3221
7072501,2750,7519
8819254,7397,11810
5429268,8810,10647
7064725,1554,2583
9390663,4140,8986
1882453,5752,10515
2338027,9726,12793
2881151,3841,7178
5873767,4180,6389
