tweetID,retweet_count,favorite_count
6922951,0,829
6254536,0,2168
9040091,0,2462
7691101,0,97
4484043,0,4282
6660111,0,4083
9736607,0,3825
2344741,0,2282
6025080,0,4880
1681303,0,2084
4972263,1,1799
7322479,1,3312
2420069,1,190
9514310,2,4648
9066986,2,3852
2556620,2,684
5673102,2,2264
7794348,2,1426
4472816,2,1373
6718769,2,1557
9225008,2,3569
7264333,2,4295
8280184,3,243
4028714,3,797
2944719,3,3936
5729277,3,2136
7988949,3,3981
7840279,3,4090
2189763,3,706
8295919,4,4301
4036082,4,1323
2807383,4,1911
3910188,4,3825
5495400,4,4045
1114316,4,3531
3791890,5,664
5968649,5,1602
8203908,5,4058
2537995,5,3464
2427468,5,1449
8787729,5,3087
5997863,6,1378
2737109,6,1834
9167889,6,855
5301868,6,3806
5202251,6,670
7928661,7,383
6563862,8,1271
7553967,8,1712
5768494,8,4588
3458677,8,2587
6665913,8,2312
3834180,2637,2988
3010479,9,1007
4863724,9,1941
2284583,9,2147
3397724,9,1324
3933819,9,3210
2410516,9,260
6094586,9,900
1995244,9,3014
6339272,10,4551
4337499,10,1749
1374650,10,3936
7568147,11,2266
2400146,11,1544
9248162,11,1207
1763993,11,3530
2969516,11,2585
2560911,11,1660
8077571,12,4521
4341678,12,2574
7473395,12,2714
6296400,12,2066
9749669,13,2390
9814446,13,4124
6867533,13,1461
5548197,13,4297
5954840,13,4141
4939257,14,3037
9224788,14,1134
2806199,14,355
8762600,558,2925
3743331,8921,12435
3519916,14,3654
1175530,14,623
4784984,15,4673
1554012,16,1365
8274716,16,2128
9288905,16,3319
6645432,17,2593
8337305,17,194
1106176,17,3611
4025582,17,4415
8949292,17,1871
9558199,2074,2217
3537906,17,60
4480346,17,1398
1842963,17,341
9838495,18,3037
1907900,18,756
6983134,18,536
4088360,18,3557
5908673,18,3900
6796378,18,2939
2586388,18,260
3311630,19,1661
6470984,19,1192
1705903,19,3269
8799330,20,1036
1775499,20,3815
4528306,20,3650
7844159,20,2278
8079484,20,2150
8675599,21,2507
4987639,21,1604
8996866,21,1741
9326242,21,5001
2984963,22,373
8074903,22,416
3128455,22,4725
1198400,22,1996
2994416,22,3132
5693639,22,2655
6743163,22,3468
6229529,22,1417
7638183,22,1197
3892382,22,429
3641309,23,3262
3473305,23,1101
5454446,23,999
1375973,23,3490
7569167,24,4208
1124029,24,2072
7315954,24,253
9556268,24,976
3863229,25,663
8602689,25,3948
3937699,25,2792
7184362,26,3335
9336170,26,1733
1341062,26,441
2113526,2299,2385
1131530,26,1825
5566977,26,3813
8452485,26,4914
2032365,26,974
5449665,27,4751
1538936,27,2564
7314702,27,1453
6722085,27,3240
6424109,3500,5323
4664464,27,527
1426026,27,2965
5001465,1706,5656
2991096,27,3585
6457381,27,1700
5008261,27,612
7374075,27,2434
1195090,28,4492
6828134,28,4214
8067988,28,4359
8641431,28,4320
2617136,28,2997
8797186,28,4718
6797463,29,1714
6355122,29,3526
1164009,29,2190
3831187,29,3338
4704147,29,4309
6852246,29,708
2924834,30,4349
4410800,30,290
7890109,30,3492
9067723,30,4206
1664818,30,815
8216239,31,2617
1959419,31,818
1746029,31,207
9105325,31,336
8610693,31,4824
